step,from,to
1204,50,164
1205,164,37
1206,37,112
1207,112,237
1208,237,113
1209,113,8
1210,8,134
1211,134,57
1212,57,161
1213,161,77
1214,77,168
1215,168,96
1216,96,165
1217,165,47
1218,47,180
1219,180,54
1220,54,187
1221,187,81
1222,81,153
1223,153,94
1224,94,154
1225,154,32
1226,32,110
1227,110,19
1228,19,121
1229,121,20
1230,20,141
1231,141,92
1232,92,166
1233,166,41
1234,41,115
1235,115,199
1236,199,82
1237,82,168
1238,168,65
1239,65,185
1240,185,77
1241,77,158
1242,158,38
1243,38,164
1244,164,45
1245,45,169
1246,169,62
1247,62,161
1248,161,74
1249,74,183
1250,183,78
1251,78,194
1252,194,129
1253,129,3
1254,3,144
1255,144,85
1256,85,153
1257,153,33
1258,33,157
1259,157,81
1260,81,141
1261,141,85
1262,85,165
1263,165,74
1264,74,193
1265,193,77
1266,77,156
1267,156,82
1268,82,138
1269,138,3
1270,3,101
1271,101,10
1272,10,97
1273,97,223
1274,223,131
1275,131,208
1276,208,117
1277,117,233
1278,233,125
1279,125,16
1280,16,110
1281,110,211
1282,211,125
1283,125,228
1284,228,94
1285,94,148
1286,148,14
1287,14,132
1288,132,217
1289,217,120
1290,120,24
1291,24,129
1292,129,210
1293,210,131
1294,131,4
1295,4,100
1296,100,22
1297,22,107
1298,107,36
1299,36,108
1300,108,29
1301,29,124
1302,124,239
1303,239,104
1304,104,2
1305,2,103
1306,103,227
1307,227,139
1308,139,21
1309,21,151
1310,151,12
1311,12,144
1312,144,97
1313,97,226
1314,226,111
1315,111,216
1316,216,109
1317,109,26
1318,26,113
1319,113,212
1320,212,124
1321,124,2
1322,2,102
1323,102,28
1324,28,128
1325,128,224
1326,224,111
1327,111,6
1328,6,122
1329,122,207
1330,207,109
1331,109,219
1332,219,133
1333,133,216
1334,216,107
1335,107,20
1336,20,100
1337,100,154
1338,154,61
1339,61,180
1340,180,57
1341,57,170
1342,170,69
1343,69,182
1344,182,56
1345,56,176
1346,176,75
1347,75,157
1348,157,88
1349,88,150
1350,150,70
1351,70,181
1352,181,55
1353,55,186
1354,186,66
1355,66,198
1356,198,78
1357,78,174
1358,174,67
1359,67,189
1360,189,59
1361,59,179
1362,179,86
1363,86,150
1364,150,4
1365,4,118
1366,118,17
1367,17,109
1368,109,34
1369,34,112
1370,112,235
1371,235,125
1372,125,215
1373,215,133
1374,133,26
1375,26,128
1376,128,192
1377,192,57
1378,57,172
1379,172,88
1380,88,178
1381,178,52
1382,52,157
1383,157,73
1384,73,194
1385,194,44
1386,44,179
1387,179,74
1388,74,146
1389,146,98
1390,98,145
1391,145,15
1392,15,114
1393,114,214
1394,214,131
1395,131,205
1396,205,128
1397,128,15
1398,15,120
1399,120,17
1400,17,105
1401,105,21
1402,21,109
1403,109,231
1404,231,113
1405,113,223
1406,223,92
1407,92,173
1408,173,63
